cpu node sched    preempt  timer    ipi      elapsedsec    usedsec       idlesec       hltsec        partnerBusyTime bwait         anonsec       handoff  handoffF handoffSF hltEnd   hltIntr  rdispatch  rchoose    irebalresched irebalFailed htWholeCore   htIdleIPI  htSwIPI    htTagAbort htPreempt   exclusiveTo  execStatus   
71  1    6434161  0        0        42421    1216453.725   1214782.337   753.208       1248.865      420.023         0.000         90.926        0        0        0         255896   179209   6          270        0             0            0             0          0          0          0           2103976      0            
72  1    641523360 0       0        7815050  1216453.725   215753.970    403707.007    419860.895    187303.556      0.000         454.450       836      0        0         462667040 268565030 29509    941147     715           0            0             0          0          0          0           29867626     0            
73  1    697961749 0       0        7936361  1216453.725   193285.740    403707.007    493458.887    188295.892      0.000         380.124       748      0        0         454108853 246571406 26153    1064309    532           0            0             0          0          0          0           29867627     0            
74  1    896580644 0       0        11308349 1216453.725   254428.651    345905.814    486349.737    244326.008      0.000         485.845       12967    0        0         562382637 334417340 56425    1177353    5657          0            0             0          0          0          0           29867662     0            
75  1    1030779218 0      0        10827933 1216453.725   270213.446    345905.814    468784.042    243982.751      0.000         471.328       8264     0        0         582108120 347117091 54929    1055492    7499          0            0             0          0          0          0           29867663     0            
76  1    729808557 0       0        8143782  1216453.725   201986.038    417874.314    419944.201    173461.101      0.000         386.958       833      0        0         462472796 249728712 32096    966502     766           0            0             0          0          0          0           29867628     0            
77  1    721183193 0       0        8220164  1216453.725   178719.058    417874.314    493171.954    173596.761      0.000         384.923       859      0        0         464862597 250062020 32092    972085     559           0            0             0          0          0          0           29867629     0            
78  1    6191731  0        0        350      1216453.725   163.926       751.806       1215617.690   0.789           0.000         159.689       0        0        0         121717378 121662759 0        22         0             0            0             0          0          0          0           2097230      0            
79  1    6245754  0        0        42044    1216453.725   1214786.188   751.806       1250.077      414.980         0.000         94.414        1        0        0         186395   147905   0          164        0             0            0             0          0          0          0           2103974      0            
80  1    533464778 0       0        5764687  1216453.725   229335.648    389367.721    432276.604    202593.927      0.000         487.712       1468     0        0         438944810 292904145 17567    620617     1513          0            0             0          0          0          0           29867632     0            
81  1    530193879 0       0        5281374  1216453.725   208382.634    389367.721    503056.708    204099.223      0.000         378.045       1033     0        0         376330595 232399745 17873    665079     1500          0            0             0          0          0          0           29867633     0            
82  1    723871365 0       0        6548402  1216453.725   64436.643     546125.523    488691.441    57705.562       0.000         369.324       788      0        0         464812968 261453238 20015    882012     665           0            0             0          0          0          0           29867647     0            
83  1    589256942 0       0        7257528  1216453.725   59766.036     546125.523    425423.589    54005.583       0.000         373.866       698      0        0         394205984 218329206 31720    882954     446           0            0             0          0          0          0           29867646     0            
84  1    710889060 0       0        7636212  1216453.725   76108.617     538922.741    481632.950    51277.457       0.000         388.806       1542     0        0         461237142 245084705 24964    872831     913           0            0             0          0          0          0           29867654     0            
85  1    679945417 0       0        7724580  1216453.725   62499.626     538922.741    450111.782    54021.116       0.000         399.661       1224     0        0         443408243 235224258 26779    959449     921           0            0             0          0          0          0           29867655     0            
86  1    6176177  0        0        40831    1216453.725   1214792.692   750.899       1249.475      408.896         0.000         100.579       0        0        0         143803   140897   2          8          0             0            0             0          0          0          0           2103972      0            
87  1    6250583  0        0        641      1216453.725   159.235       750.899       1215632.777   0.733           0.000         158.092       0        0        0         121746703 121686133 6        96         1             0            0             0          0          0          0           2097239      0            
88  1    668739556 0       0        7518776  1216453.725   254462.872    363411.889    421386.815    229353.617      0.000         438.587       774      0        0         470988617 272621628 27690    886255     701           0            0             0          0          0          0           29867648     0            
89  1    586027776 0       0        6977392  1216453.725   235167.075    363411.889    492648.616    229507.828      0.000         370.075       690      0        0         403615422 225610503 29990    908045     532           0            0             0          0          0          0           29867649     0            
90  1    624918524 0       0        5945911  1216453.725   235774.235    373520.808    495390.188    227673.805      0.000         367.599       1187     0        0         420953387 242682652 24527    679341     972           0            0             0          0          0          0           29867658     0            
91  1    637230676 0       0        6946807  1216453.725   233637.873    373520.808    432450.136    227819.592      0.000         366.244       1065     0        0         410779289 221722354 25456    863081     920           0            0             0          0          0          0           29867659     0            
92  1    6186393  0        0        40907    1216453.725   1214791.534   750.791       1249.699      410.000         0.000         103.264       0        0        0         154760   131963   1          2          0             0            0             0          0          0          0           2103973      0            
93  1    6232607  0        0        1434     1216453.725   160.609       750.791       1215630.892   0.727           0.000         159.565       0        0        0         121728923 121658261 2        249        30            0            0             0          0          0          0           2097245      0            
94  1    530570893 0       0        4927692  1216453.725   249567.156    360456.660    433885.740    242373.313      0.000         433.079       1723     0        0         412232515 271501452 13456    587130     759           0            0             0          0          0          0           29867631     0            
95  1    356427667 0       0        3001504  1216453.725   245973.249    360456.660    505209.583    242603.825      0.000         358.364       1120     0        0         304803065 229576349 7795     396645     709           0            0             0          0          0          0           29867630     0            
96  1    690706648 0       0        8570608  1216453.725   242336.782    378790.402    500103.750    210117.416      0.000         479.981       5460     0        0         476986828 244436717 28986    959579     1513          0            0             0          0          0          0           29867652     0            
97  1    1017807437 0      0        9840208  1216453.725   216536.138    378790.402    574480.454    209954.241      0.000         649.533       3728     0        0         618450629 269089393 24561    1134790    4362          0            0             0          0          0          0           29867653     0            
98  1    6496691  0        0        345      1216453.725   161.772       751.058       1215624.370   0.781           0.000         160.024       0        0        0         121845655 121677282 2        17         0             0            0             0          0          0          0           2097250      0            
99  1    6418641  0        0        41385    1216453.725   1214789.836   751.058       1248.615      412.707         0.000         101.132       1        0        0         180682   134150   2          69         0             0            0             0          0          0          0           2103971      0            
100 1    786581462 0       0        9175637  1216453.725   204855.908    414930.579    430610.795    176451.701      0.000         485.150       4068     0        0         529305801 311642201 35586    1104098    2117          0            0             0          0          0          0           0            0            
101 1    764720006 0       0        8116437  1216453.725   181736.658    414930.579    502090.972    176232.542      0.000         414.137       2668     0        0         482258740 279077688 36699    1032170    2328          0            0             0          0          0          0           0            0            
102 1    589235969 0       0        5693599  1216453.725   36436.973     579821.308    425376.741    12423.411       0.000         357.182       469      0        0         389334185 219828606 22754    684553     650           0            0             0          0          0          0           29867656     0            
103 1    666575647 0       0        7977373  1216453.725   20374.137     579821.308    489078.055    13471.747       0.000         378.412       685      0        0         433949903 239367142 24594    1160329    531           0            0             0          0          0          0           29867657     0            
104 1    706970096 0       0        7921197  1216453.725   210462.986    399140.274    471556.669    203927.320      0.000         383.288       818      0        0         451987144 250475120 28161    1018506    826           0            0             0          0          0          0           29867640     0            
105 1    691496583 0       0        7388343  1216453.725   207710.190    399140.274    442621.090    202559.720      0.000         380.719       686      0        0         443330882 247018514 27897    1012510    813           0            0             0          0          0          0           29867641     0            
106 1    686215286 0       0        7120221  1216453.725   148021.134    452035.240    490445.822    141524.036      0.000         365.981       810      0        0         440076234 255309298 17224    1056375    592           0            0             0          0          0          0           29867625     0            
107 1    435640195 0       0        4609868  1216453.725   164362.110    452035.240    425892.702    140484.496      0.000         350.456       490      0        0         318135460 197098459 23277    555374     493           0            0             0          0          0          0           29867623     0            
108 1    539130143 0       0        5509653  1216453.725   235626.588    373427.990    443165.042    229672.834      0.000         365.276       2461     0        0         370482655 215268449 22271    634281     1098          0            0             0          0          0          0           29867651     0            
109 1    556378018 0       0        4948875  1216453.725   233971.156    373427.990    491465.269    229568.798      0.000         378.877       1789     0        0         391422271 233395996 20630    601580     1312          0            0             0          0          0          0           29867650     0            
110 1    468457983 0       0        4834472  1216453.725   59103.400     546253.570    444366.952    53960.179       0.000         350.596       609      0        0         338610191 208290740 18791    605859     534           0            0             0          0          0          0           29867661     0            
111 1    510608480 0       0        4341323  1216453.725   64843.185     546253.570    472530.210    58325.205       0.000         346.936       503      0        0         360167757 224132534 17679    594194     489           0            0             0          0          0          0           29867660     0            
